,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
2433,Kh. Suleiman Aziz - Team leader Technical & Commer,"Multan, Pakistan","Chemical Technologist from PU.
Having 33 years of Water Treatment experience, worked with :Nalco Gulf Ltd/ GE Infra Structure/ICI Pakistan (Veolia), Culligan.",False,2022-04-17 16:24:49,"His followers are already declared sect # 74 imrania.
They are learning from imran. https://t.co/t58FF4kaib",,Twitter for Android,follower already declared sect imrania They learning imran http //t.co/t58FF4kaib
2434,within temptation lyric bot,ran by @WICKEDMlSERY,within temptation lyrics tweeted every hour,False,2022-04-17 16:24:49,You can try but it is useless to ask why,,"Cheap Bots, Done Quick!",useless
2435,The BogdanoGrouch 🇺🇦,"Salt Lake City, UT",Claim to fame: Gave @tlacomb his nickname “Roastradamus” - P x P man 🎙 Grouchy Utah Jazz Fan 🎵 🏀🎷 Spida stan 🕷 Deku 👊 #Hellblade 2 is coming!!! #TakeNote,False,2022-04-17 16:24:49,@Nicewomendate @NBA @CP3 @mikal_bridges @Suns My two year degree could use an upgrade 😂,,Twitter for iPhone,Nicewomendate mikal_bridges Suns year degree could upgrade
2436,✨NobieRey✨,,You’ll see,False,2022-04-17 16:24:49,Today I choose to be happy af,,Twitter for iPhone,Today choose happy
2437,Danielle Pascente,"Los Angeles, CA",LA based Fitness Expert | Creator of the Danielle Pascente Training Guides https://t.co/MIxURUE2eY Instagram at 👉🏼 DaniellePascente,False,2022-04-17 16:24:49,"Just posted a photo @ Scottsdale, Arizona https://t.co/3qsLZHWvEQ",,Instagram,Just posted photo Scottsdale Arizona http //t.co/3qsLZHWvEQ
2438,ElloEllo,good life,Live life to the full👀👀 . GERS Gal 🇬🇧. . 🚑⛑NHS…nurse 😇 ❤️🤍💙,False,2022-04-17 16:24:49,Sure is. Happy Easter bears 🫡 https://t.co/w6Qy5fPwoh,,Twitter for iPhone,Sure Happy Easter bear http //t.co/w6Qy5fPwoh
2439,Cooper @ hehehahoo 🍀🎭,"Belfast, Northern Ireland","cooper / northern irish jester/clown of caring 🃏

artist/big talker/plotting jester",False,2022-04-17 16:24:49,walked home and smelt various of smells! feel like a hound! it rained and the plants are blooming!! sniff!!!!!!!1,,Twitter Web App,walked home smelt various smell feel like hound rained plant blooming sniff
2440,ؘ,manu; paula,014 | @corinthians,False,2022-04-17 16:24:49,"@loud_eltin “cauan7, lost7, noda7” kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",,Twitter for iPhone,loud_eltin cauan7 lost7 noda7 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2441,harry stick ur head in a bucket,wmids ,⨂ || adrian chase’s bf || cripplepunk || 19 || he / him || ⨂,False,2022-04-17 16:24:49,@diIfoe dear fucking lord,,Twitter for iPhone,diIfoe dear fucking lord
2442,🍒,,"| yves-carmine | 27 |
BLACK LIVES MATTER | ✡︎ |",False,2022-04-17 16:24:49,I've managed to try and stay out of this conflict out of fear for the most part but it's very obvious whose side is doing the real life harm in this situation.,,Twitter for Android,managed stay conflict fear part obvious whose side real life harm situation
2443,𝔼𝕊,"Glasgow, Scotland","read the news, pass the time",False,2022-04-17 16:24:49,THANKYOU @RangersFC https://t.co/VO4CXS6ThN,,Twitter for iPhone,THANKYOU RangersFC http //t.co/VO4CXS6ThN
